id,Age,Sexe,Ethnie,Etat,Signes de maladie mentale,Niveau de menace,Fuite,Camera corporelle,Categorie arme,Mois,Year,Jour du mois,Blanc,Noir,Hispanique,Natif,Asiatique,Autre
127,36,M,Noir,TN,0,Autre,Pas de fuite,0,Objets tranchants,2,2015,4,0.74,0.17,0.05,0.0,0.02,0.02
128,59,M,Blanc,CA,0,Autre,En voiture,0,Arme a feu,2,2015,5,0.37,0.05,0.39,0.0,0.15,0.03
129,25,M,Noir,OK,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,6,0.65,0.07,0.11,0.08,0.02,0.07
532,26,M,Blanc,CA,0,Attaque,Pas de fuite,0,Autre,2,2015,7,0.37,0.05,0.39,0.0,0.15,0.03
554,74,M,Noir,NC,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,7,0.63,0.21,0.1,0.01,0.03,0.03
131,33,M,Blanc,AK,0,Attaque,En voiture,0,Arme a feu,2,2015,8,0.6,0.03,0.07,0.16,0.06,0.08
132,27,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,8,0.41,0.12,0.4,0.0,0.05,0.02
133,57,M,Blanc,NY,1,Attaque,Pas de fuite,0,Arme a feu,2,2015,8,0.55,0.14,0.19,0.0,0.09,0.03
134,46,M,Blanc,FL,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,8,0.53,0.15,0.26,0.0,0.03,0.02
135,41,M,Blanc,TX,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,8,0.41,0.12,0.4,0.0,0.05,0.02
136,61,M,Blanc,ME,1,Indetermine,Pas de fuite,0,Arme a feu,2,2015,9,0.93,0.01,0.02,0.0,0.01,0.02
137,45,M,Noir,TX,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,9,0.41,0.12,0.4,0.0,0.05,0.02
139,49,M,Noir,TN,0,Attaque,Pas de fuite,0,Arme a feu,2,2015,10,0.74,0.17,0.05,0.0,0.02,0.02
140,45,M,Blanc,CO,1,Attaque,En voiture,0,Arme a feu,2,2015,10,0.68,0.04,0.22,0.0,0.03,0.03
138,35,M,Hispanique,WA,1,Autre,A pied,0,Non Armé,2,2015,10,0.68,0.04,0.13,0.01,0.09,0.060000000000000005
141,23,M,Noir,CA,1,Autre,Pas de fuite,0,Objets tranchants,2,2015,11,0.37,0.05,0.39,0.0,0.15,0.03
